Abdominal Pain,"Pain in the belly (abdomen) can come from conditions affecting a variety of organs. The abdomen is an anatomical area that is bounded by the lower margin of the ribs above, the pelvic bone (pubic ramus) below, and the flanks on each side. Although abdominal pain can arise from the tissues of the abdominal wall that surround the abdominal cavity (for 
example, skin and abdominal wall muscles), the term abdominal pain generally is used to describe pain originating from organs within the abdominal cavity (for 
example, beneath the skin and muscles). These organs include the stomach, small intestine, colon, liver, gallbladder, and pancreas. Occasionally, pain may be felt in the abdomen even though it is arising from organs that are close to but not within the abdominal cavity, for example, the lower lungs, the kidneys, and the uterus or ovaries. This latter type of pain is called ""referred"" pain because the pain, though originating outside the abdomen, is being referred to (felt) in the abdominal area."
,"Abdominal pain can be acute and sudden in onset, or the 
pain can be chronic and longstanding. Abdominal pain may be minor and of no 
great significance, or it can reflect a major problem involving one of the 
organs in the abdomen. The characteristics of the pain -- location, timing, 
duration, etc. are important in diagnosing its cause. Persisting abdominal pain 
should be evaluated by a physician."
Abnormal Facial Expressions,"Abnormal facial expressions can occur as a result of conditions that damage the nerves to the face, such as Bell's palsy or facial paralysis. Damage to the brain, such as with stroke or transient ischemic attack, can also cause impaired movement, including changes in facial expressions. Patients with a number of psychiatric conditions may display abnormal facial expressions, particularly the psychotic disorders, in which an individual's sense of reality is impaired. Facial tics, such as those that occur in Tourette syndrome, are one form of abnormal facial expressions. "
,Health concern on your mind? Visit the Symptom Checker.
Absence of Speech (Loss of Speech),"
Lack of speech or absence of speech can occur due to both medical and psychological conditions. Absent speech or mutism can occur as a sign of catatonia, a state in which one is unresponsive but otherwise awake. Catatonia can be a sign or schizophrenia or other psychiatric conditions involving psychosis. It may also be a sign of severe depression or other emotional disorders. The antipsychotic medications listed below are used in the treatment of emotional conditions that may manifest as catatonia with lack of speech."
,"
Aphasia is a term used to describe the loss of language or the ability to communicate, typically due to brain damage. Mutism is a speech disorder characterized by the inability to speak. Lack of speech development in children can occur due to deafness or hearing problems. In people who have developed speech, the onset of inability to speak can signal a stroke or other type of brain damage. Head injury, dementia, and brain tumors may be associated with the loss of speech or language functions. 
"
Acid Reflux (GERD) Symptoms and Signs,"Gastroesophageal reflux disease (GERD), or acid reflux, has a number of different causes. The symptoms of acid reflux are caused by the regurgitation of acidic liquid stomach contents back up into the esophagus. Heartburn is the pain characteristically associated with acid reflux and results from irritation of the lining of the esophagus. Some cases of heartburn can produce sharp chest pains in the mid-chest that can be mistaken for the pain of angina. Heartburn is typically worse when an individual lies down after eating and occurs most commonly after mealtimes."
,"
Other symptoms that can occur as a result of GERD include nausea, regurgitation (the presence of regurgitated stomach contents in the mouth), and acid-induced erosions of the teeth. The nausea may be severe and lead to vomiting. Certain foods, including peppermint, tomatoes, spicy foods, citrus fruits, alcohol, or caffeinated drinks, may worsen the symptoms."
Acute Sinusitis Symptoms and Signs,"
The symptoms of acute sinusitis arise from inflammation of the lining tissues of the paranasal sinuses. This condition often occurs with rhinitis (inflammation of the lining of the nose), and symptoms can include nasal congestion, runny nose, nasal pressure, headache, fever, cough, and tenderness of the face over the areas of the sinuses. Other symptoms that can be related to sinusitis are tooth pain, jaw pain, postnasal drip, redness of the nose, reddened cheeks, red eyelids, decreased sense of taste, decreased sense of smell, ear fullness, and nasal drainage. Generalized symptoms like fatigue are also typical.
"
,Health concern on your mind? Visit the Symptom Checker.
ADHD (Inattention),"
Inattention is the lack of focus when focus on a given event or situation is required. Inattention is a hallmark feature of attention deficit-hyperactivity disorder (ADHD), which can affect adults as well as children and teens. Inattention in ADHD is often accompanied by symptoms such as restlessness, problems doing quiet activities, problems with executive function, talking excessively, and fidgeting.  Inattention can also occur due to external factors such as distractions as well as situations of emotional stress, anxiety, conflict, anger, or other mood changes. Inattention can also be related to medical problems that interfere with an individual's cognitive function, such as stroke or dementia. Inattention can be seen in typical young children and  is classified as a disorder only when present to excess and accompanied by problems with normal function. Depression and related conditions can cause mood changes that may include lack of attention and interest in normal daily activities."
,Health concern on your mind? Visit the Symptom Checker.
ADHD Symptoms and Signs,"
While inattention and hyperactivity are the cardinal symptoms of ADHD, a number of other symptoms are contained within the diagnostic criteria for this condition and are typical for those with ADHD. 
"
,"
Symptoms related to inattention include"
Alcohol Poisoning Symptoms and Signs,"
Alcohol poisoning is a term used by many people to refer to alcohol overdose. Alcohol overdose can cause a number of serious health consequences, including coma and death. In addition to the typical symptoms of drunkenness, which begin early in the process, alcohol poisoning also affects breathing, regulation of body temperature, and can lead to seizures. Alcohol also inhibits the gag reflex, which means that people with alcohol overdose may choke on their own vomit. Hypothermia (low body temperature) and hypoglycemia (low blood sugar) are complications of alcohol poisoning along with irregular heartbeat and slowed and irregular breathing."
,"
Alcohol poisoning or overdose results from the consumption of a large amount of alcoholic beverages over a short time, referred to as binge drinking.
"
Alcohol Withdrawal Symptoms and Signs,"
Alcohol withdrawal occurs when a person who is accustomed to drinking large amounts of alcohol suddenly stops drinking alcohol. Alcohol withdrawal symptoms usually are most severe after 48 to 72 hours, but they can persist for weeks. A severe form of alcohol withdrawal is called delirium tremens (DT)."
,"
Symptoms of alcohol withdrawal can include depression, anxiety, fatigue, nervousness, nightmares, jumpiness, mood swings, insomnia, 
and nausea and vomiting. Other symptoms can include sweating, tremor, pallor, rapid heart rate, headache, and dilated pupils. Symptoms of DT are more severe and may consist of seizures, fever, hallucinations, confusion, and agitation. DT may also cause fear, delirium, decreased attention span, and other changes in mental function.
"
Allergy,"Allergies are exaggerated immune responses to environmental triggers known as allergens. Allergies are very common, and about 50 million people in North America suffer from allergies. One of the most common forms of allergy is allergic rhinitis (""hay fever""), which produces symptoms like"
," The symptoms of hay fever can, in turn, lead to fatigue and lethargy. Other types of allergic reactions can involve the skin (hives and itching). Anaphylactic shock is a severe form of allergic reaction that can be life-threatening. In anaphylactic shock, there is swelling of the throat and difficulty breathing. Asthma is also related to allergies in many cases."
